Respondent ID,Collector ID,Start Date,End Date,IP Address,Custom Data 1,custom_value7,custom_value8,custom_value9,Do you contribute to hiring and firing decisions at your company?,How likely is it that you would recommend alternative education to a friend or colleague?,How likely is it that you would recommend a traditional bachelor's degree to a friend or colleague?,"For many professions, alternative credentials can qualify a person for an entry-level position.",Which of these industries most closely matches your profession?,Gender?,Household Income?,Age?,What is the highest level of education you have completed?,Which race/ethnicity best describes you? (Please choose only one.) ,Which of the following statements are true for you?,,,,,,,How many of the three articles contained information you were previously unaware of?,I completed this portion of the Codecademy Intro to HTML lesson,How likely is it that you would recommend alternative education to a friend or colleague?,How likely is it that you would recommend a traditional bachelor's degree to a friend or colleague?,"In 2 or more sentences, please explain your selection on ""How likely is it that you would recommend alternative education to a friend or colleague?"" Include why your score did or did not change after completing the exercises.","For many professions, alternative credentials can qualify a person for an entry-level position.",Age,Gender,Household Income,Region,Device Type
11132993345,249561822,11/10/2019 22:08,11/10/2019 22:11,,9f257d50de27897fa11c3c77c5,,,,2,9,,1,7,2,11,3,7,4,1,,,,,,,0,3,9,,,8,3,1,2,5,1
11132988921,249561822,11/10/2019 22:06,11/10/2019 22:08,,40fe73d4f1c5fdbd930fae15db,,,,2,10,,5,10,2,2,2,4,4,1,,,,,,7,0,4,5,,,6,2,1,1,9,1
11132976353,249561822,11/10/2019 21:56,11/10/2019 21:58,,bfe1fed70b478a927beada66c0,,,,1,7,,7,10,2,5,2,1,3,1,,,,,,,81,3,8,,,4,2,1,2,5,1
11132974528,249561822,11/10/2019 21:54,11/10/2019 21:56,,f16df926dacc3549ca462e40ee,,,,2,4,,6,10,2,5,2,4,4,1,,,,,,,100,1,6,,,8,2,1,4,8,2
11132964851,249561822,11/10/2019 21:41,11/10/2019 21:49,,1886dcfab653f693ff6e680991,,,,2,10,,10,10,2,1,3,4,1,1,,,,,,,100,1,10,,,10,3,1,1,5,1
11132961809,249561822,11/10/2019 21:45,11/10/2019 21:46,,9b91dcf494934c5e6dbf657e77,,,,1,9,,8,1,2,2,2,6,4,1,,,,,,,75,2,8,,,9,2,1,3,9,1
11132958640,249561822,11/10/2019 21:41,11/10/2019 21:44,,9a4b9a52383ff9c8e24a3488fd,,,,2,1,,5,10,2,1,2,4,5,1,,,,,,7,3,1,6,,,7,2,1,4,2,2
11132956568,249561822,11/10/2019 21:41,11/10/2019 21:42,,2c4ec385e9876ffa9ac5c52af6,,,,1,10,,10,6,2,8,3,8,5,,2,3,4,,,,61,3,10,,,10,3,1,6,8,1
11132943610,249561822,11/10/2019 21:32,11/10/2019 21:32,,f9b0002c16264e144c34ade272,,,,1,7,,2,4,1,6,3,6,2,1,,,,,,,40,2,5,,,3,3,1,6,2,2
11132928306,249561822,11/10/2019 21:18,11/10/2019 21:21,,903dcd7e474cbe7767891c06a8,,,,1,7,,10,1,2,6,3,6,5,,2,,,,,,24,1,7,,,10,3,1,6,8,1
11132921158,249561822,11/10/2019 21:15,11/10/2019 21:17,,f4df020b04210edbce051872e6,,,,1,4,,5,10,2,11,2,3,5,1,,,,,,,100,3,5,,,4,2,1,11,5,2
11132905180,249561822,11/10/2019 21:03,11/10/2019 21:04,,53206eb170c2597dff8676fd2e,,,,2,7,,6,2,2,2,2,3,5,1,,,,,,,65,1,7,,,7,2,1,4,9,2
11132902950,249561822,11/10/2019 21:00,11/10/2019 21:03,,dbb9f28e1ba82b7d3009637b7b,,,,2,6,,7,11,2,2,2,5,5,1,,,,,,,100,1,6,,,6,2,1,4,8,2
11132899968,249561822,11/10/2019 20:57,11/10/2019 21:01,,06cbafc231b6439fcb6e8f2ced,,,,2,10,,9,8,2,5,2,6,2,1,,,,,,,40,2,10,,,10,2,1,1,1,2
11132897685,249561822,11/10/2019 20:57,11/10/2019 21:00,,647b67226b4d5ed5f304a593d0,,,,1,5,,7,10,2,2,2,4,5,1,,,,,,7,2,1,4,,,3,2,1,6,3,2
11132896211,249561822,11/10/2019 20:36,11/10/2019 20:59,,97f2ec7bfdfc09ed39f7449ce6,,,,3,9,,7,2,1,5,2,4,5,1,,,,,,7,2,2,9,,,10,2,2,7,2,2
11132891663,249561822,11/10/2019 20:54,11/10/2019 20:55,,81c39688d3fdcd3beabb963ea3,,,,1,8,,5,6,2,6,3,7,5,,2,,,,,,49,3,9,,,7,3,1,7,9,1
11132874647,249561822,11/10/2019 20:35,11/10/2019 20:41,,605b837e2147034a31067a6093,,,,2,7,,8,10,1,4,3,4,5,,,3,4,,,,2,1,8,,,9,3,2,4,7,2
11132871167,249561822,11/10/2019 20:35,11/10/2019 20:38,,aa1502d927474d5057b0dbc0cb,,,,1,6,,6,2,1,7,3,7,5,,2,,,,,,100,2,7,,,7,3,2,4,5,1
11132871034,249561822,11/10/2019 20:36,11/10/2019 20:38,,a95fb1d9bd23a4497b9a7e9755,,,,2,5,,4,6,2,6,2,6,2,1,,,,,,,26,2,5,,,3,2,1,1,9,1
11132870951,249561822,11/10/2019 20:35,11/10/2019 20:38,,6d72c316aed36057eed3810175,,,,3,8,,10,10,1,3,3,6,5,,,3,,,,,50,1,7,,,10,3,2,3,5,1
11132870890,249561822,11/10/2019 20:35,11/10/2019 20:38,,2c27940365e6400cc1b9455740,,,,2,8,,7,10,1,1,3,6,2,1,,,,,,,99,1,8,,,7,3,2,11,1,2
11132870814,249561822,11/10/2019 20:35,11/10/2019 20:38,,512bc382b3b599a3bf6526c97a,,,,1,,,10,5,1,3,2,6,3,,,3,,,,,18,3,10,,,10,2,2,2,2,2
11132870665,249561822,11/10/2019 20:36,11/10/2019 20:38,,6f114df77e986e0eccc42ba4d6,,,,1,8,,8,12,1,3,3,3,5,,,3,,,,,8,3,9,,,10,3,2,2,2,1
11132870518,249561822,11/10/2019 20:35,11/10/2019 20:38,,b226a72c5d9e55be2533115d5a,,,,3,8,,9,10,1,1,3,7,3,1,,,,,,,0,2,8,,,9,3,2,4,7,1
11132870440,249561822,11/10/2019 20:36,11/10/2019 20:37,,2b667cb2f745b1b72d14717317,,,,2,10,,1,5,1,4,2,2,5,1,,,,,,,1,1,10,,,7,2,2,2,6,2
11132870417,249561822,11/10/2019 20:35,11/10/2019 20:37,,95393221f4e0fcab48c1b94edd,,,,2,0,,2,11,1,4,3,6,5,1,,,,,,,3,1,0,,,2,3,2,4,8,2
11132870048,249561822,11/10/2019 20:37,11/10/2019 20:37,,ea13a34ededd02f0d26d98caee,,,,1,7,,3,2,2,8,4,1,4,,2,,4,,,,43,2,4,,,3,3,2,2,5,1
11132870018,249561822,11/10/2019 20:35,11/10/2019 20:37,,697a6e157a606076c34cf7127c,,,,2,5,,5,5,1,5,2,6,5,1,,,,,,7,0,1,5,,,5,2,2,5,3,1
11132870016,249561822,11/10/2019 20:36,11/10/2019 20:37,,68d546b20fd208764bbdc9ced7,,,,3,7,,4,2,2,4,2,4,5,1,,,,,,,58,3,2,,,4,2,1,5,6,2
11132869979,249561822,11/10/2019 20:36,11/10/2019 20:37,,689d88846eac4e70c03ef668e8,,,,3,5,,5,10,1,3,3,3,5,,,,,5,,,50,1,5,,,5,3,2,3,3,1
11132869904,249561822,11/10/2019 20:36,11/10/2019 20:37,,936b0404dc75f0db4de657977b,,,,1,6,,5,6,1,5,2,4,3,,,3,,,,,3,2,5,,,1,2,2,5,7,1
11132869678,249561822,11/10/2019 20:36,11/10/2019 20:37,,ebcffe9e91ab0a77a19b381e6b,,,,2,10,,10,10,1,4,3,5,5,1,,,,,,,3,1,10,,,10,3,2,4,9,1
11132869452,249561822,11/10/2019 20:35,11/10/2019 20:37,,8282b9add7fc8c3632446831a9,,,,1,7,,6,11,1,4,3,4,2,,2,,,,,,27,1,7,,,8,3,2,5,9,2
11132869439,249561822,11/10/2019 20:35,11/10/2019 20:37,,1f86d2837d30c90ce732248b4f,,,,2,5,,7,5,1,4,3,4,5,,2,,,,,,7,1,3,,,7,3,2,4,5,1
11132869374,249561822,11/10/2019 20:35,11/10/2019 20:37,,fc37cbf99376ba921984a036a2,,,,2,8,,8,5,1,4,2,5,6,1,,,,,,,100,3,8,,,8,2,2,3,7,1
11132869277,249561822,11/10/2019 20:36,11/10/2019 20:37,,84f6c3080235be6dfaef136f97,,,,1,4,,2,5,1,1,1,1,1,1,,,,,,,69,2,4,,,1,2,2,2,7,1
11132868818,249561822,11/10/2019 20:34,11/10/2019 20:36,,74f8518ed7715580dde92665d2,,,,2,6,,5,5,1,2,2,1,2,1,,,,,,,62,1,6,,,5,3,2,2,5,1
11132868700,249561822,11/10/2019 20:34,11/10/2019 20:36,,f85f429496e6470caf56dca3ed,,,,2,6,,10,10,1,2,2,5,5,1,,,,,,,100,1,5,,,10,2,2,2,3,1
11132868663,249561822,11/10/2019 20:34,11/10/2019 20:36,,d69081aedf9cc556f7d9ea8a7a,,,,2,5,,6,2,1,11,2,4,4,1,,,,,,,100,1,5,,,7,2,2,4,9,1
11132868437,249561822,11/10/2019 20:35,11/10/2019 20:36,,e0a9217239eb4bcebccec41980,,,,1,7,,7,4,1,4,2,7,2,1,,,,,,,25,4,5,,,6,2,2,4,9,1
11132868354,249561822,11/10/2019 20:34,11/10/2019 20:36,,12f51c5bc28ce8e713723d291e,,,,2,0,,6,10,1,11,3,4,5,,2,,,,,,30,1,0,,,5,3,2,11,1,1
11132868130,249561822,11/10/2019 20:34,11/10/2019 20:36,,c2457da7959580cdefb40ac120,,,,2,10,,7,5,1,2,2,7,5,1,,,,,,,3,1,7,,,7,2,2,2,5,1
11132868080,249561822,11/10/2019 20:34,11/10/2019 20:36,,ac7f923987aac5761cd1406bd5,,,,2,8,,8,2,1,5,3,6,2,,,3,,,,,12,2,8,,,8,3,2,6,9,2
11132868066,249561822,11/10/2019 20:35,11/10/2019 20:36,,0ab9b189ff2783ea0c4aeed709,,,,1,5,,5,5,1,10,2,6,2,1,,,,,,,43,3,5,,,5,2,2,6,5,1
11132867809,249561822,11/10/2019 20:34,11/10/2019 20:35,,73117734d3bde6007a40592bb4,,,,3,5,,4,10,1,6,2,3,5,,,3,,,,,6,2,4,,,3,2,2,6,8,2
11132867635,249561822,11/10/2019 20:34,11/10/2019 20:35,,1782737952af00425a522f6382,,,,3,5,,7,10,1,7,2,5,5,,2,,,,,,100,1,5,,,10,2,2,7,5,1
11132867585,249561822,11/10/2019 20:34,11/10/2019 20:36,,69a7bc3c803a8b0feec2e3dd23,,,,2,8,,8,11,1,3,3,3,5,1,,3,4,5,,,16,1,9,,,8,3,2,3,6,2
11132867327,249561822,11/10/2019 20:34,11/10/2019 20:35,,b86b4d3881c77026060239f056,,,,1,7,,9,6,1,4,2,5,2,,,3,,,,,36,3,8,,,9,2,2,4,5,1
11132867073,249561822,11/10/2019 20:34,11/10/2019 20:36,,aab2ff190280cd19c83cb7ea6d,,,,2,4,,5,8,1,11,3,5,2,1,,,,,,,0,1,4,,,4,3,2,11,2,2
11132866315,249561822,11/10/2019 20:34,11/10/2019 20:34,,836cf696ee068204ff4a4fc277,,,,1,10,,10,11,1,4,2,5,4,1,,,,,,,0,4,10,,,10,2,2,6,6,1
11132865508,249561822,11/10/2019 20:32,11/10/2019 20:33,,848442a2ac11de4d974439d26d,,,,1,9,,7,10,1,5,2,7,5,1,,,,,,,100,2,8,,,7,2,2,4,2,1
11132864382,249561822,11/10/2019 20:31,11/10/2019 20:32,,acb63aacc96b03cb6b18cd0dd4,,,,2,7,,7,5,1,2,2,4,4,,,3,,,,,3,3,7,,,7,2,2,1,7,1
11132863803,249561822,11/10/2019 20:30,11/10/2019 20:32,,7fbea7b86315d8f660d3eb7278,,,,1,5,,7,2,1,6,3,7,5,,,3,,5,,7,0,1,5,,,7,3,2,6,9,2
11132863797,249561822,11/10/2019 20:29,11/10/2019 20:32,,68bad898ace4e36dba7d3af230,,,,2,5,,5,6,2,5,2,5,2,1,,,,,,,2,3,5,,,5,2,1,6,2,2
11132863665,249561822,11/10/2019 20:31,11/10/2019 20:32,,f1b0041ceb7bce3ab83d1c4676,,,,1,8,,10,11,2,5,2,3,4,,2,,,,,,3,1,5,,,10,2,1,4,7,1
11132863100,249561822,11/10/2019 20:29,11/10/2019 20:31,,31eee696bd40524f19b8e3a4ae,,,,1,10,,10,12,2,4,3,3,4,,2,,,,,,55,4,10,,,10,3,1,4,2,2
11132863077,249561822,11/10/2019 20:29,11/10/2019 20:31,,7978baa74cd66a0f47f680b651,,,,3,7,,8,10,2,11,1,2,3,1,,,,,,7,0,1,8,,,8,2,1,11,3,1
11132863047,249561822,11/10/2019 20:30,11/10/2019 20:31,,d7a13ad07703179a65f1ff7666,,,,1,10,,1,10,3,1,2,5,4,1,,,,,,7,60,4,0,,,1,2,1,5,7,2
11132862967,249561822,11/10/2019 20:30,11/10/2019 20:31,,cabf178d410773f2a453a7a66d,,,,2,8,,9,5,1,1,1,4,5,1,,,,,,,2,1,7,,,4,2,2,1,6,1
11132862236,249561822,11/10/2019 20:22,11/10/2019 20:31,,c0098dc98034b8152bab0b21b0,,,,1,3,,5,2,1,5,3,5,5,1,,,,,,,3,1,3,,,5,3,2,5,7,2
11132862137,249561822,11/10/2019 20:29,11/10/2019 20:31,,d699b8a7c426b8a0513bd0c578,,,,1,10,,8,2,2,3,2,7,4,1,,,,,,,16,3,10,,,8,2,1,5,9,2
11132856600,249561822,11/10/2019 20:24,11/10/2019 20:26,,446fb1248b63e3dc2e7a74af6c,,,,2,5,,10,3,2,6,3,5,5,,,3,,,,,1,4,5,,,10,3,1,6,7,2
11132852421,249561822,11/10/2019 20:20,11/10/2019 20:23,,398fc1f249ddfbf2c310b63e03,,,,2,8,,5,11,1,4,3,4,5,,,3,,5,,,0,2,6,,,7,3,2,4,2,1
11132851933,249561822,11/10/2019 20:21,11/10/2019 20:23,,1ffbcefbf18f72a50921ebe020,,,,2,5,,5,10,2,6,3,5,5,1,,,,,,,50,1,5,,,5,3,1,6,9,5
11132850592,249561822,11/10/2019 20:20,11/10/2019 20:21,,c9140196d55b7a75d67bee65d3,,,,3,9,,9,5,2,6,3,8,4,,,3,,,,,3,1,9,,,9,3,1,6,7,1
11132845918,249561822,11/10/2019 20:15,11/10/2019 20:17,,3889b77ee5497d1b72b18d0c91,,,,2,6,,10,10,2,2,2,4,4,1,,,,,,,3,1,6,,,10,2,1,1,9,2
11132845140,249561822,11/10/2019 20:14,11/10/2019 20:17,,96c7e2c217d14041675e95f20f,,,,1,7,,7,4,1,9,3,5,5,1,,,,,,,0,1,7,,,7,3,2,8,7,1
11132844607,249561822,11/10/2019 20:15,11/10/2019 20:16,,5abe5b3083f86e235cd8f5fff1,,,,2,10,,10,5,2,3,3,4,4,1,,,,,,,100,2,10,,,10,3,1,3,6,2
11132844334,249561822,11/10/2019 20:15,11/10/2019 20:16,,f69c4e29ad8c7995d3a9948654,,,,2,9,,10,11,3,4,4,5,3,1,2,3,,5,,,84,2,7,,,8,2,1,2,9,1
11132843781,249561822,11/10/2019 20:14,11/10/2019 20:16,,c3bf9919168a4a57fff9291065,,,,2,10,,3,10,1,4,3,7,5,,2,,,,,,33,1,10,,,3,3,2,5,3,2
11132843265,249561822,11/10/2019 20:14,11/10/2019 20:15,,033906236f7153d99795898446,,,,1,7,,4,5,3,3,2,5,6,1,,,,,,,0,1,3,,,4,2,2,3,9,2
11132841079,249561822,11/10/2019 20:12,11/10/2019 20:13,,5c96f029fb6ed772c92284ed0b,,,,2,8,,9,11,2,8,3,5,2,1,,,,,,,0,1,8,,,9,3,1,6,4,2
11132835957,249561822,11/10/2019 20:07,11/10/2019 20:09,,4ddf195d3cb320bcde596e1572,,,,2,6,,7,3,2,11,3,3,4,,,3,,,,,0,1,6,,,6,3,1,6,7,2
11132833985,249561822,11/10/2019 20:06,11/10/2019 20:08,,6f20ed13c9e0731e94a607c8b4,,,,2,7,,7,3,1,3,2,4,3,1,,,,,,7,1,4,8,,,7,2,2,3,9,6
11132831097,249561822,11/10/2019 20:01,11/10/2019 20:05,,d21cfb6b8db56ba266a922a511,,,,2,6,,6,5,1,2,2,3,4,,,3,,,,,11,1,5,,,5,2,2,1,9,1
11132830079,249561822,11/10/2019 20:02,11/10/2019 20:05,,083845129e60bcba034017e7e2,,,,2,7,,9,4,1,3,2,5,5,1,,,,,,,100,2,9,,,10,2,2,2,7,1
11132822624,249561822,11/10/2019 19:56,11/10/2019 19:58,,46f4e2da203aac138bc593d8f6,,,,2,7,,7,2,1,11,2,8,5,1,,,,,,,24,4,6,,,6,2,2,11,4,2
11132819382,249561822,11/10/2019 19:54,11/10/2019 19:56,,6ffe4d7fc9ba29f8dc66984a7e,,,,3,6,,7,10,1,1,2,3,5,,2,,,,,,96,1,5,,,5,2,2,1,7,2
11132819360,249561822,11/10/2019 19:53,11/10/2019 19:56,,f1fc2300688732ea2d47e8f315,,,,2,6,,7,11,2,2,3,3,4,1,,,,,,,58,1,6,,,7,3,1,3,9,2
11132818047,249561822,11/10/2019 19:53,11/10/2019 19:55,,c46a8faf1db0077647f917de05,,,,2,5,,5,8,2,8,2,7,5,,2,,,,,,1,1,5,,,5,2,1,8,1,2
11132818001,249561822,11/10/2019 19:53,11/10/2019 19:55,,387d477645471c39eaeb66f9ea,,,,2,10,,10,10,2,5,2,6,2,1,,,,,,7,67,1,10,,,10,2,1,4,3,2
11132816797,249561822,11/10/2019 19:50,11/10/2019 19:54,,6ec214f7cb8061d64792dbd481,,,,3,0,,10,10,1,1,3,2,1,,,3,,,,,100,4,8,,,7,3,2,1,9,2
11132815437,249561822,11/10/2019 19:47,11/10/2019 19:52,,8e4bcb63fdcf99119692929ceb,,,,1,8,,8,5,1,11,3,6,3,1,,,,,,7,13,1,8,,,8,3,2,11,2,1
11132814391,249561822,11/10/2019 19:50,11/10/2019 19:52,,ffdd7e3742c820257c8e59f83a,,,,2,7,,8,10,2,4,2,7,5,1,,,,,,,3,3,7,,,8,2,1,11,8,2
11132813568,249561822,11/10/2019 19:45,11/10/2019 19:51,,dbc8b36b1f3c1afe09bb7425c2,,,,2,7,,1,1,2,3,2,3,5,1,,,,,,,3,1,7,,,1,2,1,3,4,2
11132813232,249561822,11/10/2019 19:50,11/10/2019 19:51,,167c7cc0125a835651950013b1,,,,1,5,,10,4,1,6,3,6,2,1,,,,,,,58,3,8,,,10,3,2,7,9,1
11132811404,249561822,11/10/2019 19:47,11/10/2019 19:49,,8480b32b00234fefc71242fc39,,,,2,8,,8,12,2,4,2,3,5,1,,,,,,,0,1,9,,,8,2,1,3,1,1
11132810912,249561822,11/10/2019 19:46,11/10/2019 19:49,,f87a430c0b99aed657f3055abd,,,,2,6,,9,10,1,6,3,5,5,1,,,,,,,2,1,6,,,7,3,2,3,8,2
11132809638,249561822,11/10/2019 19:45,11/10/2019 19:48,,785d8c46e29b63dbeedb12edbd,,,,2,7,,8,6,2,4,3,5,5,,2,,,,,,3,2,7,,,8,3,1,4,8,2
11132804559,249561822,11/10/2019 19:42,11/10/2019 19:43,,86864cfabd6a46ae2a62624818,,,,1,7,,3,4,2,5,2,7,5,1,,,,,,,56,2,5,,,4,2,1,6,3,1
11132802682,249561822,11/10/2019 19:40,11/10/2019 19:42,,c77dfccaf787cc108ad22c1535,,,,2,7,,6,1,2,3,3,8,2,1,,,,,,,53,1,7,,,7,3,1,1,1,1
11132802332,249561822,11/10/2019 19:40,11/10/2019 19:41,,73bc8813b1dd13111723bf94d6,,,,2,6,,8,2,1,4,2,7,3,,2,,,,,,3,1,5,,,8,2,2,4,5,1
11132801754,249561822,11/10/2019 19:38,11/10/2019 19:41,,1a169184682bb94ffa25c82238,,,,3,5,,5,10,2,5,2,4,5,1,,,,,,7,0,1,5,,,6,2,1,7,4,2
11132799898,249561822,11/10/2019 19:37,11/10/2019 19:39,,d6d2fccebf86420c20043270e9,,,,2,6,,6,11,1,3,2,3,5,,,3,,,,,1,1,5,,,6,2,2,2,3,1
11132799301,249561822,11/10/2019 19:38,11/10/2019 19:39,,b8b7a580a0f389c8c558f7bcd6,,,,1,7,,3,4,2,9,4,2,4,,,3,,,,,53,2,8,,,7,3,1,9,2,1
11132797736,249561822,11/10/2019 19:36,11/10/2019 19:38,,18d934c9b87358c31d5f23915a,,,,1,8,,7,3,2,7,2,8,5,,2,3,,,,,62,4,8,,,9,2,1,11,4,2
11132795919,249561822,11/10/2019 19:34,11/10/2019 19:36,,cb773415bf040841f60b870909,,,,1,7,,7,4,2,4,2,7,2,,,3,,,,,1,2,6,,,5,2,1,3,8,2
11132792925,249561822,11/10/2019 19:31,11/10/2019 19:33,,689e0790394e73fcb324fcb4d9,,,,2,7,,7,3,2,3,2,4,5,1,,,,,,,73,1,6,,,7,2,1,4,9,1
11132792807,249561822,11/10/2019 19:30,11/10/2019 19:33,,aaa1586ec4f562421ff41bf036,,,,2,10,,1,5,1,1,2,4,5,1,,,,,,,1,4,10,,,1,2,2,2,9,2
11132792395,249561822,11/10/2019 19:30,11/10/2019 19:33,,923ec1ecd383d2d56623d3974e,,,,2,10,,6,10,2,3,1,2,4,1,,,,,,,3,1,10,,,5,2,1,2,5,1
11132791443,249561822,11/10/2019 19:31,11/10/2019 19:32,,6d461b1ecfbb7ea7ed75cf39d2,,,,2,7,,6,7,1,4,3,6,2,1,,,,,,,10,4,6,,,6,3,2,4,9,1
11132789834,249561822,11/10/2019 19:30,11/10/2019 19:31,,1fe4f28fee017514bee813e5c1,,,,1,6,,1,1,1,4,2,5,5,,,3,,,,,42,2,5,,,6,2,1,11,9,2
11132789484,249561822,11/10/2019 19:29,11/10/2019 19:30,,171b3fd59683da9841995738de,,,,2,10,,10,4,2,3,2,5,5,1,,,,,,,3,1,7,,,1,2,1,2,1,2
11132787042,249561822,11/10/2019 19:27,11/10/2019 19:28,,c8db25d08bd4671af6a12c959a,,,,3,8,,10,10,1,3,3,4,5,,2,,,,,,0,1,8,,,10,3,2,3,4,2
11132785247,249561822,11/10/2019 19:24,11/10/2019 19:27,,f0577d567dac8921a4ace401d6,,,,1,10,,9,10,1,1,2,4,3,1,,,,,,7,2,1,10,,,9,2,2,2,5,2
11132782331,249561822,11/10/2019 19:23,11/10/2019 19:24,,69010a6037797e2be58b7b431f,,,,2,8,,3,5,1,3,2,4,2,,2,,,,,,1,2,3,,,4,2,2,3,3,1
11132781998,249561822,11/10/2019 19:23,11/10/2019 19:24,,5848bdd2537f9f1caaadb785aa,,,,2,5,,3,2,1,7,3,7,2,,,3,,,,,0,1,5,,,6,3,2,7,9,2
11132779832,249561822,11/10/2019 19:15,11/10/2019 19:22,,eafe90a1f8767809be75b2de82,,,,1,10,,10,2,2,6,3,4,5,1,,,,,,,1,1,10,,,10,3,1,6,4,1
11132779114,249561822,11/10/2019 19:19,11/10/2019 19:22,,a70670d8c317ad3a54ce7854aa,,,,2,2,,6,2,2,6,3,7,2,1,,,,,,,0,1,2,,,6,3,1,6,9,2
11132777082,249561822,11/10/2019 19:19,11/10/2019 19:20,,e66571fe28e698ea75924810c6,,,,1,10,,10,8,2,10,3,5,5,,,,4,5,6,,0,3,10,,,10,3,1,10,1,1
11132775514,249561822,11/10/2019 19:16,11/10/2019 19:19,,77f4106e4a4c9eea98a0102626,,,,1,5,,6,7,2,5,3,4,5,,,,,5,,,5,1,5,,,6,3,1,6,2,1
11132774469,249561822,11/10/2019 19:17,11/10/2019 19:18,,c69a8d406ce2877eb8abcc3b9b,,,,1,5,,3,3,1,10,1,1,6,1,,,,,,,66,2,8,,,9,3,2,10,5,2
11132774153,249561822,11/10/2019 19:14,11/10/2019 19:17,,8a8a9b893505bb213d0a30f452,,,,2,2,,1,6,2,6,2,4,4,1,,,,,,,1,4,0,,,1,2,1,2,8,1
11132773051,249561822,11/10/2019 19:15,11/10/2019 19:17,,b92023f0c9b2736584a99d2f84,,,,2,3,,4,3,1,6,2,3,3,1,,,,,,,1,1,3,,,5,3,2,1,5,1
11132767131,249561822,11/10/2019 19:10,11/10/2019 19:12,,5551dafeb3f954d488e37e5ef9,,,,2,6,,7,4,2,4,2,5,5,1,,,,,,,100,1,7,,,7,2,1,3,3,2
11132766206,249561822,11/10/2019 19:11,11/10/2019 19:16,,f87e68b62c0b0fae65c9f0cef2,,,,2,5,,8,10,1,4,2,3,5,1,,,,,,,28,1,5,,,8,2,2,3,3,2
11132765663,249561822,11/10/2019 19:09,11/10/2019 19:10,,c31ee42a32cd8129a8f8cbf52b,,,,2,6,,7,4,2,9,2,5,5,1,,,,,,,2,1,6,,,7,2,1,5,5,1
11132762016,249561822,11/10/2019 19:00,11/10/2019 19:07,,301e4d1e985be99b0171c81c64,,,,1,8,,7,6,1,10,3,6,5,1,,,,,,,1,1,6,,,7,3,2,10,5,2
11132761242,249561822,11/10/2019 19:05,11/10/2019 19:07,,4365d7f98b83fece4d4dfa28cb,,,,1,7,,7,6,2,4,3,4,4,,2,,,5,,,3,1,7,,,7,3,1,4,2,2
11132757777,249561822,11/10/2019 19:02,11/10/2019 19:04,,747c3f84f442a14bab326f84ee,,,,1,5,,9,2,1,2,2,6,5,,,3,,,,,1,2,5,,,9,2,2,1,6,1
11132756401,249561822,11/10/2019 19:01,11/10/2019 19:02,,987cee71c346cb59987deb5809,,,,1,10,,7,10,2,4,2,4,5,1,,,,,,,55,1,7,,,6,2,1,3,5,2
11132756088,249561822,11/10/2019 19:01,11/10/2019 19:02,,5c0585224059db50420bee66ef,,,,2,7,,8,6,1,11,2,4,4,1,,,,,,,18,2,8,,,5,3,2,11,9,1
11132755508,249561822,11/10/2019 19:00,11/10/2019 19:02,,5978c9b43b5b81e05e40b6f8a1,,,,1,10,,10,5,1,3,2,5,4,,2,,,,,,15,2,10,,,10,2,2,3,2,2
11132750931,249561822,11/10/2019 18:53,11/10/2019 18:57,,efd419550efae7ee462980a2c8,,,,1,0,,2,3,2,7,3,5,5,,,3,4,5,,,0,1,3,,,4,3,1,7,3,2
11132750402,249561822,11/10/2019 18:52,11/10/2019 18:57,,d187a0929e398cc3b8d98ccd6d,,,,1,10,,7,10,2,3,3,4,5,,,3,,,,,,,,,,,,,,,
11132750309,249561822,11/10/2019 18:52,11/10/2019 18:57,,8ec309d8cbe04de3b1f43b7a2e,,,,2,7,,7,5,1,10,3,7,5,1,,,,,,,1,4,6,,,7,3,2,4,2,1
11132748103,249561822,11/10/2019 18:53,11/10/2019 18:55,,32900ccc456e2d88811d1d6c89,,,,2,8,,7,5,1,11,2,4,5,1,,,,,,7,0,1,8,,,9,2,2,11,4,1
11132747853,249561822,11/10/2019 18:52,11/10/2019 18:54,,a2074133d245c138dc0cb7bd99,,,,3,3,,4,8,1,1,3,1,5,1,,,,,,,18,1,4,,,4,3,2,11,5,1
11132747451,249561822,11/10/2019 18:52,11/10/2019 18:54,,8add46a8c8b91cfa734b3ab288,,,,2,5,,7,6,1,3,2,4,3,1,,,,,,,2,4,7,,,7,2,2,3,2,1
11132745963,249561822,11/10/2019 18:52,11/10/2019 18:53,,5fc1f53266f5a65c24ee82285a,,,,2,6,,6,2,1,7,3,7,5,,,3,,,,,24,1,5,,,3,3,2,7,2,1
11132744621,249561822,11/10/2019 18:42,11/10/2019 18:51,,3ee432e6926a54deb664118536,,,,3,8,,6,5,2,2,2,3,5,,,3,,,,,33,2,8,,,6,2,1,2,,2
11132742763,249561822,11/10/2019 18:48,11/10/2019 18:50,,6a85e54b97b7611be1892ab5e4,,,,1,5,,5,10,1,7,3,5,5,,,,,5,,,29,2,5,,,5,3,2,6,2,1
11132741220,249561822,11/10/2019 18:44,11/10/2019 18:48,,34e5e71bf4cb7625e4601642de,,,,1,5,,5,11,1,3,2,4,5,1,,,,,,,3,3,5,,,6,2,2,3,7,2
11132740733,249561822,11/10/2019 18:45,11/10/2019 18:48,,f6bc21f25131f51a4b0ca5a55b,,,,2,5,,10,2,1,2,3,5,5,,2,,,,,,100,1,5,,,10,3,2,3,4,2
