Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Do you contribute to hiring and firing decisions at your company?,"For many professions, alternative credentials can qualify a person for an entry-level position.",It will soon become fairly conventional for high school graduates to obtain alternative credentials instead of going to college.,"When you add up the pros and cons for online education, it's probably a good thing for society overall.","When you add up the pros and cons for artificial intelligence, it's probably a good thing for society overall.",Have you heard of any of the following online course providers?,,,,,Which of these industries most closely matches your profession?,Government regulation helps ensure businesses treat individuals more fairly.,Gender?,Household Income?,Age?,Age,Gender,Household Income,Region,Device Type
10551882488,226271760,02/24/2019 06:08:21 PM,02/24/2019 06:09:42 PM,74.194.122.201,,,,,2,8,7,10,9,,2,,,5,6,1,2,2,2,,,,,
10551881825,226271760,02/24/2019 06:07:40 PM,02/24/2019 06:08:58 PM,172.58.139.246,,,,,2,4,3,10,7,1,2,3,,,6,10,2,5,3,,,,,
10551881174,226271760,02/24/2019 06:07:04 PM,02/24/2019 06:08:17 PM,174.80.249.100,,,,,2,5,3,7,5,,2,,,,10,5,2,2,2,,,,,
10551879624,226272122,02/24/2019 06:04:24 PM,02/24/2019 06:06:37 PM,,,,,bcaec47b35646a633aa4985355,1,3,1,3,7,1,2,3,4,,6,9,2,11,3,3,1,11,4,2
10551879609,226271760,02/24/2019 06:05:33 PM,02/24/2019 06:06:36 PM,71.224.2.157,,,,,2,9,8,9,8,,,,,,5,7,2,4,2,,,,,
10551879557,226271760,02/24/2019 06:05:30 PM,02/24/2019 06:06:33 PM,66.85.17.230,,,,,2,8,4,7,7,1,2,3,,,10,7,1,6,3,,,,,
10551879308,226272122,02/24/2019 06:05:25 PM,02/24/2019 06:06:17 PM,,,,,667496b949a753dea21effa8b5,1,8,7,3,5,,,,,,7,7,2,10,2,2,1,10,2,1
10551879282,226271760,02/24/2019 06:04:42 PM,02/24/2019 06:06:16 PM,73.169.159.58,,,,,1,7,8,6,10,1,2,,,5,6,8,2,3,2,,,,,
10551878793,226272122,02/24/2019 06:05:00 PM,02/24/2019 06:05:43 PM,,,,,1fb4bcf17ca62ccb7a2f14a1ce,2,6,8,6,5,,,,,5,5,5,1,4,3,3,2,4,6,2
10551877283,226271760,02/24/2019 05:59:58 PM,02/24/2019 06:04:06 PM,142.196.134.138,,,,,2,10,7,10,10,1,,,,,4,6,2,8,3,,,,,
10551877050,226271760,02/24/2019 06:03:10 PM,02/24/2019 06:03:52 PM,71.75.228.170,,,,,2,10,7,10,10,,2,,,,6,8,1,4,2,,,,,
10551874981,226271760,02/24/2019 06:00:35 PM,02/24/2019 06:01:38 PM,173.26.102.132,,,,,2,7,6,7,4,,2,3,,,4,7,1,4,3,,,,,
10551874816,226271760,02/24/2019 05:59:20 PM,02/24/2019 06:01:28 PM,73.92.5.208,,,,,2,9,9,9,9,,2,,,,6,9,1,5,3,,,,,
10551874804,226271760,02/24/2019 06:00:45 PM,02/24/2019 06:01:27 PM,173.168.81.6,,,,,2,5,4,5,5,,2,,,,6,5,2,2,3,,,,,
10551874504,226271760,02/24/2019 05:57:19 PM,02/24/2019 06:01:06 PM,172.11.220.144,,,,,2,5,3,4,5,,,,,,8,7,2,11,3,,,,,
10551874485,226271760,02/24/2019 05:59:21 PM,02/24/2019 06:01:05 PM,65.175.205.90,,,,,2,6,5,6,5,,2,,,,7,5,1,4,4,,,,,
10551874103,226271760,02/24/2019 05:59:25 PM,02/24/2019 06:00:40 PM,45.31.113.40,,,,,2,6,8,10,9,1,2,3,,,6,8,1,3,2,,,,,
10551873623,226271760,02/24/2019 05:58:25 PM,02/24/2019 06:00:12 PM,173.187.155.222,,,,,2,2,6,9,8,1,2,,,5,8,7,2,2,3,,,,,
10551873506,226271760,02/24/2019 05:58:54 PM,02/24/2019 06:00:04 PM,131.191.84.22,,,,,2,4,3,7,10,,,3,,,10,10,2,3,3,,,,,
10551873415,226271760,02/24/2019 05:58:11 PM,02/24/2019 05:59:59 PM,47.189.242.249,,,,,1,9,9,10,9,,2,,,5,6,7,2,5,4,,,,,
10551873239,226271760,02/24/2019 05:56:44 PM,02/24/2019 05:59:47 PM,24.74.136.196,,,,,1,8,8,10,9,,,,,,4,2,1,10,4,,,,,
10551873235,226271760,02/24/2019 05:52:39 PM,02/24/2019 05:59:46 PM,108.84.236.184,,,,,1,6,4,6,4,,2,3,,,12,6,2,3,2,,,,,
10551873108,226271760,02/24/2019 05:57:29 PM,02/24/2019 05:59:39 PM,159.118.88.60,,,,,2,8,9,10,8,,2,,,,5,7,1,3,3,,,,,
10551872877,226271760,02/24/2019 05:57:04 PM,02/24/2019 05:59:26 PM,68.48.228.199,,,,,2,7,8,10,6,1,,,,,5,9,1,3,2,,,,,
10551872873,226271760,02/24/2019 05:56:33 PM,02/24/2019 05:59:26 PM,24.74.136.196,,,,,1,9,9,10,8,,,,,,10,4,1,10,3,,,,,
10551872804,226271760,02/24/2019 05:56:38 PM,02/24/2019 05:59:22 PM,96.33.153.183,,,,,1,6,9,10,4,,,3,,5,2,4,1,3,4,,,,,
10551872528,226271760,02/24/2019 05:58:18 PM,02/24/2019 05:59:03 PM,76.98.102.166,,,,,1,6,6,5,6,,,,,5,4,4,2,5,3,,,,,
10551872252,226270653,02/24/2019 05:55:48 PM,02/24/2019 05:58:45 PM,99.203.145.220,,,,,1,4,8,8,9,,,,,,2,2,2,11,2,,,,,
10551872196,226271760,02/24/2019 05:57:23 PM,02/24/2019 05:58:42 PM,173.72.160.220,,,,,2,3,10,7,3,,,3,,,6,8,1,3,3,,,,,
10551872126,226271760,02/24/2019 05:57:49 PM,02/24/2019 05:58:37 PM,104.166.194.115,,,,,2,2,3,2,3,,2,3,,,2,9,2,2,2,,,,,
10551872098,226271760,02/24/2019 05:57:14 PM,02/24/2019 05:58:36 PM,76.237.90.47,,,,,1,7,6,5,7,,2,3,,,6,8,2,10,4,,,,,
10551872093,226271760,02/24/2019 05:57:38 PM,02/24/2019 05:58:36 PM,73.48.80.170,,,,,2,2,1,10,8,1,2,3,,,2,8,2,3,3,,,,,
10551872069,226271760,02/24/2019 05:56:32 PM,02/24/2019 05:58:34 PM,47.196.108.221,,,,,2,9,5,10,9,,,,,,2,10,2,2,3,,,,,
10551871437,226271760,02/24/2019 05:57:17 PM,02/24/2019 05:57:54 PM,76.217.146.108,,,,,2,5,4,5,5,,2,3,,5,10,5,2,3,2,,,,,
10551871306,226271760,02/24/2019 05:56:24 PM,02/24/2019 05:57:46 PM,184.90.247.11,,,,,1,8,6,10,2,,,,,,4,7,2,4,2,,,,,
10551871206,226271760,02/24/2019 05:57:06 PM,02/24/2019 05:57:40 PM,67.181.174.153,,,,,2,5,7,6,8,,2,3,,5,6,7,2,5,2,,,,,
10551871108,226271760,02/24/2019 05:53:26 PM,02/24/2019 05:57:35 PM,24.49.56.194,,,,,2,9,10,6,10,1,2,3,,5,6,9,2,3,2,,,,,
10551870982,226271760,02/24/2019 05:54:12 PM,02/24/2019 05:57:42 PM,75.17.157.121,,,,,3,10,6,3,7,,,,,,12,2,2,4,5,,,,,
10551870901,226271760,02/24/2019 05:55:57 PM,02/24/2019 05:57:20 PM,73.173.103.253,,,,,3,2,1,9,9,,2,3,,,10,9,2,7,2,,,,,
10551870650,226271760,02/24/2019 05:55:58 PM,02/24/2019 05:57:03 PM,162.193.23.43,,,,,1,8,6,7,9,1,2,3,,,4,4,2,3,2,,,,,
10551870645,226271760,02/24/2019 05:55:46 PM,02/24/2019 05:57:03 PM,65.29.71.149,,,,,1,4,3,5,4,,2,,,,2,7,1,4,2,,,,,
10551870455,226271760,02/24/2019 05:55:52 PM,02/24/2019 05:56:52 PM,174.64.32.80,,,,,2,10,10,10,10,,,,,5,7,8,1,2,4,,,,,
10551870096,226271760,02/24/2019 05:55:30 PM,02/24/2019 05:56:30 PM,71.209.133.237,,,,,2,7,5,6,5,,2,3,,,2,4,2,2,3,,,,,
10551870084,226271760,02/24/2019 05:55:45 PM,02/24/2019 05:56:29 PM,76.18.138.14,,,,,1,4,5,5,6,1,2,3,4,5,6,7,1,3,2,,,,,
10551870050,226271760,02/24/2019 05:55:37 PM,02/24/2019 05:56:27 PM,70.127.239.30,,,,,1,9,1,8,8,,,3,,,5,6,1,6,2,,,,,
10551870047,226271760,02/24/2019 05:55:33 PM,02/24/2019 05:56:27 PM,50.44.127.144,,,,,1,10,8,10,6,,2,3,,,2,2,1,3,3,,,,,
10551869969,226271760,02/24/2019 05:54:17 PM,02/24/2019 05:56:23 PM,108.226.251.99,,,,,2,7,6,10,10,,2,,,,10,10,1,2,2,,,,,
10551869939,226271760,02/24/2019 05:54:51 PM,02/24/2019 05:56:21 PM,73.105.11.186,,,,,2,10,3,8,7,,2,,,,6,8,1,2,4,,,,,
10551869879,226271760,02/24/2019 05:55:00 PM,02/24/2019 05:56:18 PM,73.242.114.75,,,,,1,8,7,5,8,1,,,,,5,6,1,5,3,,,,,
10551869801,226271760,02/24/2019 05:55:32 PM,02/24/2019 05:56:13 PM,97.124.179.161,,,,,1,6,5,5,6,1,2,,,,3,5,2,3,2,,,,,
10551869436,226271760,02/24/2019 05:54:19 PM,02/24/2019 05:55:51 PM,104.5.21.103,,,,,2,4,5,6,6,,2,,,5,4,4,1,4,3,,,,,
10551869418,226271760,02/24/2019 05:54:15 PM,02/24/2019 05:55:50 PM,67.249.186.196,,,,,1,7,4,8,5,,,3,,,4,3,2,5,3,,,,,
10551869367,226271760,02/24/2019 05:54:06 PM,02/24/2019 05:55:46 PM,75.187.144.207,,,,,2,8,8,10,6,1,2,3,,,10,9,2,3,3,,,,,
10551869272,226271760,02/24/2019 05:52:42 PM,02/24/2019 05:55:40 PM,75.191.242.86,,,,,1,7,8,5,6,,,,,,10,10,2,2,3,,,,,
10551868908,226271760,02/24/2019 05:53:15 PM,02/24/2019 05:55:16 PM,75.90.238.206,,,,,1,8,1,10,10,,,,,,2,10,2,5,3,,,,,
10551868901,226271760,02/24/2019 05:53:28 PM,02/24/2019 05:55:16 PM,173.73.116.159,,,,,1,8,2,7,8,1,2,3,,5,7,9,2,3,3,,,,,
10551868838,226271760,02/24/2019 05:53:56 PM,02/24/2019 05:55:11 PM,199.102.182.97,,,,,3,7,9,10,10,1,2,3,,5,10,8,2,1,2,,,,,
10551868759,226271760,02/24/2019 05:53:03 PM,02/24/2019 05:55:06 PM,173.170.192.72,,,,,1,7,9,7,2,,,,,5,12,5,2,5,4,,,,,
10551868598,226271760,02/24/2019 05:53:29 PM,02/24/2019 05:54:56 PM,74.95.7.254,,,,,1,10,10,10,10,1,2,,,,6,1,2,2,3,,,,,
10551868535,226271760,02/24/2019 05:53:19 PM,02/24/2019 05:54:53 PM,76.204.63.194,,,,,2,7,4,5,6,,,,,,6,6,2,3,3,,,,,
10551868531,226271760,02/24/2019 05:53:21 PM,02/24/2019 05:54:53 PM,71.82.73.120,,,,,2,10,7,10,6,1,2,,,,5,6,1,1,5,,,,,
10551868388,226271760,02/24/2019 05:54:05 PM,02/24/2019 05:54:43 PM,70.187.80.244,,,,,2,7,8,7,7,1,2,3,4,5,3,5,2,4,2,,,,,
10551868281,226271760,02/24/2019 05:53:40 PM,02/24/2019 05:54:37 PM,173.89.48.81,,,,,2,8,10,10,9,,,,,,4,5,2,7,3,,,,,
10551868030,226271760,02/24/2019 05:53:14 PM,02/24/2019 05:54:22 PM,70.95.43.222,,,,,2,5,5,5,5,,,,,5,10,4,1,1,3,,,,,
10551867960,226271760,02/24/2019 05:53:20 PM,02/24/2019 05:54:18 PM,173.88.117.174,,,,,2,3,7,8,6,1,2,3,,5,10,8,2,3,2,,,,,
10551867918,226271760,02/24/2019 05:53:02 PM,02/24/2019 05:54:15 PM,208.93.35.10,,,,,1,4,4,7,3,1,2,3,,,10,2,1,6,4,,,,,
10551867912,226271760,02/24/2019 05:52:38 PM,02/24/2019 05:54:15 PM,75.27.4.111,,,,,2,10,10,8,7,,,,,5,11,10,2,3,4,,,,,
10551867903,226271760,02/24/2019 05:53:06 PM,02/24/2019 05:54:14 PM,96.40.4.179,,,,,1,6,2,3,1,,,,,5,2,4,2,7,3,,,,,
10551867834,226271760,02/24/2019 05:53:17 PM,02/24/2019 05:54:10 PM,98.251.169.14,,,,,1,9,9,6,2,,2,3,,,1,2,1,9,3,,,,,
10551867759,226271760,02/24/2019 05:53:06 PM,02/24/2019 05:54:06 PM,71.209.133.237,,,,,2,8,6,6,5,,,,,,11,3,1,2,5,,,,,
10551867557,226271760,02/24/2019 05:52:45 PM,02/24/2019 05:53:51 PM,24.18.153.117,,,,,2,6,7,7,5,,2,3,,,10,6,2,4,2,,,,,
10551867459,226271760,02/24/2019 05:52:37 PM,02/24/2019 05:53:44 PM,64.121.102.112,,,,,2,7,4,2,8,,,,4,,11,6,2,4,2,,,,,
10551867222,226271760,02/24/2019 05:52:45 PM,02/24/2019 05:53:28 PM,98.204.215.87,,,,,1,6,4,5,9,,,,,,10,10,2,4,2,,,,,
10551863762,226272122,02/24/2019 05:46:16 PM,02/24/2019 05:49:47 PM,,,,,341ab97b52d4fe398c9c680ccf,3,4,5,6,4,1,,,,,5,3,1,4,3,3,2,1,3,1
10551863636,226272122,02/24/2019 05:46:44 PM,02/24/2019 05:49:41 PM,,,,,5f6e925dd99c13104984db21a2,1,9,8,8,6,,,,,,10,9,1,11,4,4,2,11,9,1
10551863266,226272122,02/24/2019 05:47:20 PM,02/24/2019 05:49:17 PM,,,,,c2071b4b2fdac9d11d8cfdb193,1,8,7,3,3,1,,3,,,12,5,2,5,4,4,1,4,2,2
10551863217,226272122,02/24/2019 05:46:56 PM,02/24/2019 05:49:14 PM,,,,,c4cfce5607841400f7c78c3015,2,8,6,7,5,1,,,,,10,7,1,3,4,4,2,3,9,2
10551863187,226272122,02/24/2019 05:47:06 PM,02/24/2019 05:49:12 PM,,,,,9d973cd6638d2e3c763fe0e6ce,3,4,5,7,7,,,,,,10,8,1,3,4,4,2,3,5,2
10551863144,226272122,02/24/2019 05:47:28 PM,02/24/2019 05:49:34 PM,,,,,02b0cf2f70027fcf585146c0b5,1,10,9,5,5,,,,,,8,9,2,11,4,4,1,7,1,2
10551863123,226272122,02/24/2019 05:46:12 PM,02/24/2019 05:49:08 PM,,,,,4a885e4a66f6b78fbf32904d45,1,8,6,7,5,,2,,,,10,6,1,3,3,3,2,3,4,1
10551863027,226272122,02/24/2019 05:46:22 PM,02/24/2019 05:49:01 PM,,,,,55c9e6c01e4ef9fd457346ac12,1,10,10,10,8,1,2,,,5,4,9,2,4,3,3,1,4,1,1
10551863010,226272122,02/24/2019 05:46:58 PM,02/24/2019 05:49:01 PM,,,,,67ded982d99947fe2f4d8edf3d,2,8,8,8,5,1,,,,,4,7,1,7,4,4,2,7,8,1
10551862628,226272122,02/24/2019 05:46:23 PM,02/24/2019 05:48:36 PM,,,,,f82e7ab1a5e58c0ca2f149acb7,2,6,4,1,4,,,,,5,11,9,1,1,4,4,2,11,6,2
10551862618,226272122,02/24/2019 05:47:31 PM,02/24/2019 05:48:35 PM,,,,,1c216110ad16818b75f1db77bd,2,10,10,10,10,,,3,,,4,10,1,2,5,5,2,2,6,4
10551862609,226272122,02/24/2019 05:46:35 PM,02/24/2019 05:48:34 PM,,,,,a641b7a5cb17c7e9ffb4ce59d2,2,1,1,1,1,,,3,,,8,4,3,11,1,2,2,2,7,1
10551862464,226272122,02/24/2019 05:46:10 PM,02/24/2019 05:48:24 PM,,,,,29eea3e5daac322a9e7bbc89a3,2,10,7,4,5,,,3,,,11,7,1,3,2,2,2,2,4,1
10551862297,226272122,02/24/2019 05:46:28 PM,02/24/2019 05:48:13 PM,,,,,fcfa2074ba37cb42ff178d78c5,2,5,4,5,3,,,,,,11,4,2,5,4,4,1,5,4,2
10551862203,226272122,02/24/2019 05:46:13 PM,02/24/2019 05:48:07 PM,,,,,671e19b52daa15750d77218cce,2,5,5,7,4,,,,,,11,4,1,11,5,5,2,11,6,2
10551862172,226272122,02/24/2019 05:46:28 PM,02/24/2019 05:48:05 PM,,,,,6ccd3d784eb546e5568c685e0b,1,8,5,5,4,1,2,,,,8,7,2,4,2,2,1,5,3,2
10551862140,226272122,02/24/2019 05:46:37 PM,02/24/2019 05:48:03 PM,,,,,84a49da79352f3f1451d58c2fe,1,9,10,10,6,,,,,5,8,4,2,4,3,3,1,3,8,1
10551862078,226272122,02/24/2019 05:46:32 PM,02/24/2019 05:48:00 PM,,,,,87ded1d53c1d21c834eeae6ab9,2,9,6,8,6,,,,4,,3,5,1,4,4,4,2,4,7,1
10551861830,226272122,02/24/2019 05:46:17 PM,02/24/2019 05:47:44 PM,,,,,67599edeb615ba56d0001cc499,2,6,5,5,3,1,,,,,10,8,2,4,2,2,1,11,9,1
10551861827,226272122,02/24/2019 05:46:46 PM,02/24/2019 05:47:43 PM,,,,,80d05e982da41afabc7f3bbff3,2,10,10,10,10,,,,4,5,11,7,2,2,3,3,1,5,9,2
10551861821,226272122,02/24/2019 05:46:29 PM,02/24/2019 05:47:43 PM,,,,,cfbdeafc89a542419439ac814a,3,4,4,3,5,,,3,,,10,7,2,3,5,5,1,3,1,4
10551861759,226272122,02/24/2019 05:46:20 PM,02/24/2019 05:47:39 PM,,,,,2c3422fca974a330360d7af2d0,2,3,4,8,5,1,2,,,,5,5,1,3,4,4,2,11,5,2
10551861627,226272122,02/24/2019 05:46:40 PM,02/24/2019 05:47:30 PM,,,,,871cc9e618366464bf3f092d98,3,1,1,1,1,1,,,,,1,1,2,1,3,3,1,1,9,2
10551861478,226272122,02/24/2019 05:46:12 PM,02/24/2019 05:47:30 PM,,,,,db267f3e59f41ca796f1bb2b0a,2,6,8,6,10,1,2,3,4,5,2,5,1,2,2,2,2,2,9,2
10551861473,226272122,02/24/2019 05:46:20 PM,02/24/2019 05:47:19 PM,,,,,7dd3d8b1813d421bb63b25b93e,1,5,3,5,8,1,,,,,10,5,1,1,2,2,2,1,2,1
10551861052,226272122,02/24/2019 05:46:24 PM,02/24/2019 05:46:51 PM,,,,,17d85872115964bd7fef595ea0,1,8,8,9,8,,,,4,,7,8,2,4,2,2,1,4,2,2
10551861009,226272122,02/24/2019 05:46:17 PM,02/24/2019 05:46:49 PM,,,,,3937324a2a74a3f68dd9b0b870,1,8,5,5,8,1,,3,,,2,3,2,5,3,3,1,10,2,2
10551860879,226272122,02/24/2019 05:46:14 PM,02/24/2019 05:46:41 PM,,,,,7ae483dd9df332f3818d3e65ee,1,1,7,7,7,1,2,,,,6,2,1,3,3,3,2,3,2,2
10551859648,226270653,02/24/2019 05:43:01 PM,02/24/2019 05:45:27 PM,174.204.21.9,,,,,2,1,6,6,2,1,,,,,2,6,1,6,3,,,,,
10551855812,226270653,02/24/2019 05:40:03 PM,02/24/2019 05:41:31 PM,104.53.207.232,,,,,2,8,3,5,4,1,,3,4,5,2,6,1,6,2,,,,,
10551845858,226270653,02/24/2019 05:31:08 PM,02/24/2019 05:32:21 PM,108.51.99.99,,,,,1,8,7,10,9,1,2,,,,10,6,1,10,2,,,,,
10551841509,226270653,02/24/2019 05:26:13 PM,02/24/2019 05:27:56 PM,172.56.3.189,,,,,2,9,10,10,8,1,,3,,,6,3,2,10,3,,,,,
10551838014,226270653,02/24/2019 05:23:11 PM,02/24/2019 05:24:24 PM,173.66.41.10,,,,,2,7,3,8,1,1,,,,,4,4,2,6,4,,,,,
